,strikePrice,expiryDate,bid/ask,side,instrument_name,margin_required,premium_earned
0,42000,2024-12-24,38.5,PE,BANKNIFTY,720.0,577.5
1,43000,2024-12-24,21.55,PE,BANKNIFTY,0.0,323.25
2,43500,2024-12-24,23.9,PE,BANKNIFTY,419.25,358.5
3,44000,2024-12-24,10.15,PE,BANKNIFTY,0.0,152.25
4,44500,2024-12-24,29.05,PE,BANKNIFTY,1530.0,435.75
5,45000,2024-12-24,72.0,PE,BANKNIFTY,1199.25,1080.0
6,45500,2024-12-24,23.0,PE,BANKNIFTY,1560.75,345.0
7,46000,2024-12-24,35.0,PE,BANKNIFTY,1860.0,525.0
8,46500,2024-12-24,100.0,PE,BANKNIFTY,1933.5,1500.0
9,47000,2024-12-24,110.0,PE,BANKNIFTY,2262.75,1650.0
10,47500,2024-12-24,10.15,PE,BANKNIFTY,2816.25,152.25
11,47600,2024-12-24,10.15,PE,BANKNIFTY,2688.0,152.25
12,47700,2024-12-24,10.15,PE,BANKNIFTY,4908.0,152.25
13,47800,2024-12-24,10.15,PE,BANKNIFTY,3615.0,152.25
14,47900,2024-12-24,10.15,PE,BANKNIFTY,4034.25,152.25
15,48000,2024-12-24,215.0,PE,BANKNIFTY,3321.75,3225.0
16,48100,2024-12-24,10.15,PE,BANKNIFTY,0.0,152.25
17,48200,2024-12-24,10.15,PE,BANKNIFTY,4539.75,152.25
18,48300,2024-12-24,10.15,PE,BANKNIFTY,0.0,152.25
19,48400,2024-12-24,10.15,PE,BANKNIFTY,0.0,152.25
20,48500,2024-12-24,220.05,PE,BANKNIFTY,3931.5000000000005,3300.75
21,48600,2024-12-24,10.15,PE,BANKNIFTY,4200.0,152.25
22,48700,2024-12-24,10.15,PE,BANKNIFTY,5871.0,152.25
23,48800,2024-12-24,20.15,PE,BANKNIFTY,5602.5,302.25
24,48900,2024-12-24,29.0,PE,BANKNIFTY,3825.0,435.0
25,49000,2024-12-24,323.55,PE,BANKNIFTY,4854.0,4853.25
26,49100,2024-12-24,20.15,PE,BANKNIFTY,0.0,302.25
27,49200,2024-12-24,289.05,PE,BANKNIFTY,4129.5,4335.75
28,49300,2024-12-24,20.15,PE,BANKNIFTY,0.0,302.25
29,49400,2024-12-24,20.15,PE,BANKNIFTY,0.0,302.25
30,49500,2024-12-24,381.65,PE,BANKNIFTY,5880.0,5724.75
31,49600,2024-12-24,20.15,PE,BANKNIFTY,5582.25,302.25
32,49700,2024-12-24,30.15,PE,BANKNIFTY,0.0,452.25
33,49800,2024-12-24,30.15,PE,BANKNIFTY,9103.5,452.25
34,49900,2024-12-24,0.0,PE,BANKNIFTY,0.0,0.0
35,50000,2024-12-24,487.0,PE,BANKNIFTY,7305.0,7305.0
36,50100,2024-12-24,384.9,PE,BANKNIFTY,0.0,5773.5
37,50200,2024-12-24,152.75,PE,BANKNIFTY,0.0,2291.25
38,50300,2024-12-24,379.75,PE,BANKNIFTY,9062.25,5696.25
39,50400,2024-12-24,442.8,PE,BANKNIFTY,0.0,6642.0
40,50500,2024-12-24,590.0,PE,BANKNIFTY,8895.0,8850.0
41,50600,2024-12-24,0.0,PE,BANKNIFTY,9000.0,0.0
